agency_std,title_std,agency_title_count,regular_hours,median_salary_by_title,count_of_job_titles,median_salary_by_agency,current_year
admin trials and hearings,*attorney at law,1,1540.0,97720.0,36,68600.0,2022
admin trials and hearings,admin community relations specialist,3,1820.0,88975.0,405,68600.0,2022
admin trials and hearings,administrative accountant,1,1820.0,107734.5,120,68600.0,2022
admin trials and hearings,administrative analyst,6,1820.0,110583.0,1844,68600.0,2022
admin trials and hearings,administrative associate,14,1820.0,61142.0,3539,68600.0,2022
admin trials and hearings,administrative city planner,1,1820.0,120310.5,142,68600.0,2022
admin trials and hearings,administrative community relations specialist,2,1820.0,129836.0,85,68600.0,2022
admin trials and hearings,administrative labor relations analyst,1,1820.0,136813.0,34,68600.0,2022
admin trials and hearings,administrative law judge,12,1820.0,161195.0,12,68600.0,2022
admin trials and hearings,administrative manager,8,1820.0,83547.0,1207,68600.0,2022
admin trials and hearings,administrative procurement analyst,1,1820.0,126000.0,43,68600.0,2022
admin trials and hearings,agency attorney interne,1,1015.0,71757.0,52,68600.0,2022
admin trials and hearings,agency chief contracting officer,1,1820.0,151528.0,22,68600.0,2022
admin trials and hearings,associate contract specialist,1,1820.0,69222.0,58,68600.0,2022
admin trials and hearings,associate staff analyst,2,1820.0,81988.5,672,68600.0,2022
admin trials and hearings,attorney,26,1820.0,95000.0,890,68600.0,2022
admin trials and hearings,bookkeeper,3,1820.0,49870.0,217,68600.0,2022
admin trials and hearings,certified it administrator,1,1820.0,110647.0,425,68600.0,2022
admin trials and hearings,certified it developer,1,1820.0,115000.0,229,68600.0,2022
admin trials and hearings,clerical aide,1,1820.0,38253.0,48,68600.0,2022
admin trials and hearings,clerical associate,26,1820.0,44084.5,2850,68600.0,2022
admin trials and hearings,community assistant,18,1820.0,37398.0,812,68600.0,2022
admin trials and hearings,community associate,24,1820.0,47927.0,3968,68600.0,2022
admin trials and hearings,community coordinator,29,1820.0,66000.0,3904,68600.0,2022
admin trials and hearings,community service aide,3,1820.0,34077.5,14,68600.0,2022
admin trials and hearings,confidential secretary of administrative law judge,1,1295.0,51209.0,1,68600.0,2022
admin trials and hearings,cyber security analyst,4,1820.0,85000.0,51,68600.0,2022
admin trials and hearings,executive agency counsel,30,1820.0,140000.0,532,68600.0,2022
admin trials and hearings,executive assistant to the chief administrative law judge,1,1820.0,150393.0,1,68600.0,2022
admin trials and hearings,it associate,2,1610.0,76587.0,807,68600.0,2022
admin trials and hearings,it specialist,2,1820.0,106023.0,1262,68600.0,2022
admin trials and hearings,it systems manager,5,1820.0,136096.0,1290,68600.0,2022
admin trials and hearings,public records aide,6,1820.0,44045.0,75,68600.0,2022
admin trials and hearings,secretary,2,1820.0,42471.0,491,68600.0,2022
admin trials and hearings,special officer,4,2080.0,50207.0,562,68600.0,2022
admin trials and hearings,staff analyst,1,1820.0,71840.0,483,68600.0,2022
administration for children's services,*attorney at law,6,1820.0,97720.0,36,61161.5,2022
administration for children's services,*certified database administrator,2,1820.0,114895.0,4,61161.5,2022
administration for children's services,*certified local area network administrator,1,1820.0,102716.0,14,61161.5,2022
administration for children's services,*cook,8,2080.0,41388.0,87,61161.5,2022
administration for children's services,*senior cook,3,2080.0,44955.0,20,61161.5,2022
administration for children's services,accountant,8,1820.0,65456.5,288,61161.5,2022
administration for children's services,admin community relations specialist,18,1820.0,88975.0,405,61161.5,2022
administration for children's services,admin construction project manager,1,1820.0,116714.0,50,61161.5,2022
administration for children's services,administrative analyst,104,1820.0,110583.0,1844,61161.5,2022
administration for children's services,administrative architect,2,1820.0,123300.0,86,61161.5,2022
administration for children's services,administrative associate,218,1820.0,61142.0,3539,61161.5,2022
administration for children's services,administrative business promotion coordinator,4,1820.0,110691.5,98,61161.5,2022
administration for children's services,administrative construction project manager,1,1820.0,138923.0,62,61161.5,2022
administration for children's services,administrative contract specialist,3,1820.0,88044.0,88,61161.5,2022
administration for children's services,administrative director of residential child care,31,1820.0,87735.0,31,61161.5,2022
administration for children's services,administrative director of social services,246,1820.0,104201.0,520,61161.5,2022
administration for children's services,administrative juvenile counselor,2,1820.0,89290.0,2,61161.5,2022
administration for children's services,administrative management auditor,1,1820.0,108044.5,72,61161.5,2022
administration for children's services,administrative manager,54,1820.0,83547.0,1207,61161.5,2022
administration for children's services,administrative nutritionist,1,1820.0,96682.0,3,61161.5,2022
administration for children's services,administrative procurement analyst,1,1050.0,126000.0,43,61161.5,2022
administration for children's services,administrative procurement analyst-non-mgrl,4,1820.0,87497.0,220,61161.5,2022
administration for children's services,administrative project manager,3,1820.0,113743.0,445,61161.5,2022
administration for children's services,administrative public health nurse,3,1820.0,111240.0,28,61161.5,2022
administration for children's services,administrative public information specialist,1,1820.0,136491.0,53,61161.5,2022
administration for children's services,administrative public information specialist nm former m1/m2,1,1820.0,101970.0,41,61161.5,2022
administration for children's services,agency attorney interne,39,1330.0,71757.0,52,61161.5,2022
administration for children's services,agency chief contracting officer,1,1820.0,151528.0,22,61161.5,2022
administration for children's services,architect,2,1820.0,96775.0,55,61161.5,2022
administration for children's services,assistant commissioner for facilities development & const,1,1820.0,198000.0,1,61161.5,2022
administration for children's services,assistant commissioner for program development,1,1820.0,160000.0,1,61161.5,2022
