fiscal_year,title_std,agency_std,base_salary,headcount,regular_hours
2015,*adm dir fleet maintenance - nm,department of correction,129039.0,1,2085.72
2015,*adm school security manager-u,police department,71606.0,4,1955.35
2015,*admin schl secur mgr-mgl,police department,140341.0,1,1825.0
2015,*administrative attorney,department of education,201337.0,1,1825.0
2015,*administrative attorney,nyc housing authority,135000.0,1,1825.0
2015,*administrative attorney,police department,167899.0,1,1825.0
2015,*administrative attorney,tax commission,138395.0,1,1825.0
2015,*asist systms analyst,department of health,60015.5,2,1825.0
2015,*assist coordinating manager,department of health,48124.0,9,1825.0
2015,*associate director health program,department of health,105427.0,3,1825.0
2015,*associate executive director,department of health,98280.0,6,1825.0
2015,*certified applications developer,administration for children's services,95989.0,1,1825.0
2015,*certified applications developer,department of education,103695.5,2,1825.0
2015,*certified applications developer,department of homeless services,114250.0,1,1825.0
2015,*certified applications developer,fire department,93288.0,1,1825.0
2015,*certified applications developer,law department,99012.0,1,1809.17
2015,*certified applications developer,police department,100284.0,1,1825.0
2015,*certified applications developer,teachers retirement system,94383.0,1,1825.0
2015,*certified database administrator,administration for children's services,98149.0,2,1825.0
2015,*certified database administrator,dept of info tech & telecomm,123019.0,2,1825.0
2015,*certified database administrator,hra/dept of social services,101488.0,1,1825.0
2015,*certified database administrator,tax commission,91747.0,1,1825.0
2015,*certified database administrator,taxi & limousine commission,89076.0,1,1825.0
2015,*certified wide area network administrator,department of education,103018.0,6,1825.0
2015,*certified wide area network administrator,department of homeless services,89842.0,1,1825.0
2015,*certified wide area network administrator,department of transportation,100284.0,1,1825.0
2015,*certified wide area network administrator,dept of environment protection,115172.0,1,1825.0
2015,*certified wide area network administrator,dept of info tech & telecomm,118462.0,4,1825.0
2015,*certified wide area network administrator,financial info svcs agency,108108.0,1,1825.0
2015,*certified wide area network administrator,housing preservation & dvlpmnt,116163.0,1,1825.0
2015,*certified wide area network administrator,nyc housing authority,105871.0,1,1825.0
2015,*certified wide area network administrator,police department,109833.0,3,1825.0
2015,*community liaison worker,department of health,49278.0,2,1755.165
2015,*coordinating manager,department of health,63900.0,23,1825.0
2015,*custodial assistant,administration for children's services,36389.0,1,2085.72
2015,*custodial assistant,department of health,33112.0,3,2085.72
2015,*custodial assistant,department of sanitation,33399.0,1,1982.22
2015,*custodial assistant,dept of citywide admin svcs,32904.0,9,2085.72
2015,*custodial assistant,dept of environment protection,32834.0,1,2085.72
2015,*custodial assistant,hra/dept of social services,32883.0,6,2085.72
2015,*custodial assistant,police department,33173.0,12,2085.72
2015,*dir of fiscal affairs,department of health,88415.0,1,1825.0
2015,*director of health care program planning/analysis,department of health,87133.0,5,1825.0
2015,*personnel program developement specialist,department of health,74627.0,1,1825.0
2015,*principal park supervisor,department of parks & recreation,76227.5,2,2085.72
2015,"*procurment analyst level iii, oj",nyc housing authority,70402.0,1,1825.0
2015,*research scientist,dept of environment protection,96170.0,1,1825.0
2015,*senior staff officer,department of health,72190.0,1,1825.0
2015,*senior systems analyst,department of health,47558.0,4,1825.0
2015,*senior systems analyst,fire department,67632.0,1,1825.0
2015,*sr management consultant,department of health,77356.5,20,1825.0
